field_length,throughput0,throughput1,throughput2,throughput3,insert_latency0,insert_latency1,insert_latency2,insert_latency3
1,27103.20901994796,28008.066323101055,28538.812785388127,28039.479587258862,35.089132,34.259084,33.64668,34.004508
8,29063.008602650545,29277.432954678534,28074.11566535654,28748.85004599816,32.927964,32.693928,33.234128,33.303404
256,28931.83659298692,28945.2356142179,29373.75161555634,29144.32268594078,32.817376,32.693672,32.563744,32.708252
1024,25510.20408163265,25497.195308516064,25227.04339051463,25135.732957973054,37.695072,37.35734,37.903516,38.207232
4096,8984.72596585804,8975.693821132374,8913.927119731869,8973.760723644065,109.68282,110.015224,110.703244,109.928764
16384,1070.2100608307398,1068.485656648545,1067.6278164021796,1069.9398265841528,933.127384,934.653196,935.264384,933.351864
65536,485.4557458542079,522.9687892226592,483.736769799346,463.20314237011786,2055.85972,1907.96564,2063.10424,2154.30792
262144,55.474931987733385,55.68722490510897,55.46397836461132,60.554974227802965,18021.84688,17953.53176,18024.94504,16509.54892
1048576,6.970673539936661,6.757204193250634,7.081846027636763,7.213479164875319,143448.0168,147980.3684,141196.322,138619.2876
